timestamp,interval_number,trial_number,is_dynamic_obstacle_present,degree,level,feedback_modality,right_index_button,left_index_button,right_thumbstick_x,right_thumbstick_y,number_of_collision,head_position,head_rotation,collision_position
9.07269,1,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,150.66)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
9.13961,1,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,151.56)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
9.21442,1,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,152.76)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
9.28159,1,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,153.66)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
9.35572,1,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,154.56)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
9.42749,1,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,155.76)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
9.4974,1,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,156.96)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
9.55881,1,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,157.86)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
9.62959,1,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,158.76)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
9.69749,1,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,159.96)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
9.77094,1,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,160.86)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
9.84584,1,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,162.06)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
9.91254,1,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,163.26)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
9.99183,1,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,164.46)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
10.06768,1,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,165.36)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
10.1555,1,0,False,0.0,0,-,0.0,0.0,0.0,0.0,4,"(0.00,0.76,166.86)","(0.00,0.00,0.00)","(0.59,0.68,132.70)"
